filelist,lw,rw,ondemand,extraworkXline,topk,result
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
